English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
coelicolor,coelicolor,None,,coelicolor
"streptomyces, coelicolor",coelicolor,None,,coelicolor
"actinomycete, streptomyces, coelicolor",coelicolor,None,,coelicolor
"complete, genome, sequence","cumplir, genoma , secuencia ","Github, Github, Github",,
sequence,secuencia ,Github,,
"actinomycete, streptomyces, coelicolor, model","coelicolor, modelo","None, Github",,coelicolor
"genome, sequence","genoma , secuencia ","Github, Github",,
genome,genoma ,Github,,
model,modelo,Github,,
coelicolor,coelicolor,None,,coelicolor
"actinomycete, streptomyces, coelicolor, model","coelicolor, modelo","None, Github",,coelicolor
"streptomyces, coelicolor",coelicolor,None,,coelicolor
"actinomycete, streptomyces, coelicolor",coelicolor,None,,coelicolor
"complete, genome, sequence","cumplir, genoma , secuencia ","Github, Github, Github",,
"genome, sequence","genoma , secuencia ","Github, Github",,
sequence,secuencia ,Github,,
micr,micr,None,,micr
genome,genoma ,Github,,
"chromosome, sequence","cromosoma, secuencia ","Github, Github",,
dnaa,dnaa,None,,dnaa
gene,gen,Github,,
"chromosome, sequence, general, feature","cromosoma, secuencia , general , aparecer","Github, Github, Github, Github",,
"large, completely, sequence, bacterial, genome","grande, totalmente, secuencia , bacteriano, genoma ","Github, Github, Github, Github, Github",,
feature,aparecer,Github,,
"bacterial, genome","bacteriano, genoma ","Github, Github",,
centre,concentrarse en,Github,centre->center,
"general, feature","general , aparecer","Github, Github",,
"dnaa, oric, gene","dnaa, oric, gen","None, None, Github",,"dnaa, oric"
"completely, sequence, bacterial, genome","totalmente, secuencia , bacteriano, genoma ","Github, Github, Github, Github",,
chromosome,cromosoma,Github,,
"BHK, cell","BHK, célula","None, Github",,BHK
calf,cría ,Github,,
"FCS, 11, calf, serum","FCS, 11, cría , suero","None, None, Github, Github",,"FCS, 11"
"0.5, geneticin","0.5, geneticin","None, None",,"0.5, geneticin"
reporter,reportero ,Github,,
receptor,,,,
"2002, reporter, system","2002, reportero , sistema ","None, Github, Github",,2002
"11, calf, serum","11, cría , suero","None, Github, Github",,11
serum,suero,Github,,
geneticin,geneticin,None,,geneticin
BHK,BHK,None,,BHK
system,sistema ,Github,,
"ry5, receptor",ry5,None,,ry5
medium,médium,Github,,
"essential, medium","esencial, médium","Github, Github",,
"BHK, cell","BHK, célula","None, Github",,BHK
transduction,,,,
assay,aquilatar,Github,,
"ligand, receptor, interaction","ligando, interacción ","Mexican Laws, Github",,
"live, cell","vivir, célula","Github, Github",,
"assay, system","aquilatar, sistema ","Github, Github",,
ahx5,ahx5,None,,ahx5
"GFP, expression","GFP, expresión","None, Github",,GFP
"nm, IC50, y5-receptor","nm, IC50, y5-receptor","None, None, None",,"nm, IC50, y5-receptor"
y2-receptor,y2-receptor,None,,y2-receptor
"selective, NPY, analog","selectivo, NPY, ","Github, None, Github",analog->analogue,NPY
expression,expresión,Github,,
pnpy,pnpy,None,,pnpy
"NPY, analog","NPY, ","None, Github",analog->analogue,NPY
influence,influir,Github,,
analog,,Github,analog->analogue,
y5-receptor,y5-receptor,None,,y5-receptor
propionyl,propionyl,None,,propionyl
order,ordenar,Github,,
reporter,reportero ,Github,,
gene,gen,Github,,
study,estudiar,Github,,
assay,aquilatar,Github,,
competition,competición ,Github,,
value,valor,Github,,
"EC50, value","EC50, valor","None, Github",,EC50
"seven, implementation, preparation","siete, implementación , preparación ","Github, Github, Github",,
preparation,preparación ,Github,,
"seven, implementation","siete, implementación ","Github, Github",,
highway,carretera ,Github,,
"dutch, highway","neerlandés , carretera ","Github, Github",,
"dutch, highway, ecological, compensation, plan","neerlandés , carretera , ecológico, planear","Github, Github, Github, Github",,
"ecological, compensation, plan","ecológico, planear","Github, Github",,
plan,planear,Github,,
implementation,implementación ,Github,,
"seven, project","siete, proyecto ","Github, Github",,
"large, scale","grande, costra de óxido balanza escala","Github, Github",,
"decision, seven, project, making","decisión , siete, proyecto , calificación","Github, Github, Github, Github",making->qualification,
"ecological, impact","ecológico, impacto ","Github, Github",,
"1993, compensation, principle, implementation","1993, principio , implementación ","None, Github, Github",,1993
place,entonar,Github,,
"1993, compensation, principle","1993, principio ","None, Github",,1993
making,calificación,Github,making->qualification,
"seven, project, making","siete, proyecto , calificación","Github, Github, Github",making->qualification,
principle,principio ,Github,,
decision,decisión ,Github,,
compensation,,,,
project,proyecto ,Github,,
group,grupo,Github,,
correlation,correlación,Github,,
method,method,Github,,
"katchalski, katzir, introduce, method","katchalski, katzir, presentar, method","None, None, Github, Github",,"katchalski, katzir"
"rigid, body","rígido, cuerpo","Github, Github",,
target,blanco ,Github,,
function,fungir,Github,,
complementarity,,,,
fourier,,,,
co-workers,co-workers,None,,co-workers
"shape, complementarity",forma ,Github,,
minimization,minimización ,Github,,
"molecule, assembly, molecule, structure","molécula, fabricación, molécula, estructura ","Github, Github, Github, Github",assembly->fabrication,
energy,energía,Github,,
function,fungir,Github,,
"single, protein","sencillo , proteína","Github, Github",,
correspondence,acuerdo ,Github,correspondence->agreement,
"molecule, assembly","molécula, fabricación","Github, Github",assembly->fabrication,
"theoretical, prediction","teórico, predicción ","Github, Github",,
surface,superficie ,Github,,
docking,nalgas ,Github,docking->tail,
challenge,desafiar,Github,,
drug,droga,Github,,
"proteinprotein, docking","proteinprotein, nalgas ","None, Github",docking->tail,proteinprotein
method,method,Github,,
"scoring, docking","anotar, nalgas ","Github, Github","scoring->score, docking->tail",
"scoring, docking, method","anotar, nalgas , method","Github, Github, Github","scoring->score, docking->tail",
"generally, drug, design, relate, research","generalmente, droga, diseñar, relate, investigar","Github, Github, Github, None, Github",,relate
scoring,anotar,Github,scoring->score,
"establish, scoring, docking, method","establecer, anotar, nalgas , method","Github, Github, Github, Github","scoring->score, docking->tail",
"small, moleculeprotein, interaction, challenge","esmaltín, moleculeprotein, interacción , desafiar","Github, None, Github, Github",,moleculeprotein
"design, relate, research","diseñar, relate, investigar","Github, None, Github",,relate
interaction,interacción ,Github,,
"small, moleculeprotein, interaction","esmaltín, moleculeprotein, interacción ","Github, None, Github",,moleculeprotein
"drug, design, relate, research","droga, diseñar, relate, investigar","Github, Github, None, Github",,relate
moleculeprotein,moleculeprotein,None,,moleculeprotein
research,investigar,Github,,
"small, moleculeprotein","esmaltín, moleculeprotein","Github, None",,moleculeprotein
design,diseñar,Github,,
concluding,,Github,concluding->reason,
genome,genoma ,Github,,
scale,costra de óxido balanza escala,Github,,
yeast,levadura,Github,,
"primarily, yeast","primariamente, levadura","Github, Github",,
proteinprotein,proteinprotein,None,,proteinprotein
"large, scale","grande, costra de óxido balanza escala","Github, Github",,
"large, scale, screening","grande, costra de óxido balanza escala, esconder","Github, Github, Github",screening->cover,
"proteinprotein, interaction","proteinprotein, interacción ","None, Github",,proteinprotein
interaction,interacción ,Github,,
"concluding, session",", sesión ","Github, Github",concluding->reason,
PATHWAY,PATHWAY,None,,PATHWAY
"proteinprotein, interaction, large, scale, screening","proteinprotein, interacción , grande, costra de óxido balanza escala, esconder","None, Github, Github, Github, Github",screening->cover,proteinprotein
prediction,predicción ,Github,,
"system, free, energy","sistema , librar, energía","Github, Github, Github",,
molecule,molécula,Github,,
"rigid, body, docking, new, result","rígido, cuerpo, nalgas , nuevo, resultar","Github, Github, Github, Github, Github",docking->tail,
"shape, complementarity, target","forma , blanco ","Github, Github",,
"rigid, body, docking","rígido, cuerpo, nalgas ","Github, Github, Github",docking->tail,
extende,extende,None,,extende
"shape, complementarity, target, function","forma , blanco , fungir","Github, Github, Github",,
"fast, fourier, transform","rápido, trasformar","Github, Github",,
result,resultar,Github,,
shape,forma ,Github,,
"fast, fourier",rápido,Github,,
"FFT, katchalski, katzir, introduce, method","FFT, katchalski, katzir, presentar, method","None, None, None, Github, Github",,"FFT, katchalski, katzir"
"luman, center","luman, concentrarse en","None, Github",,luman
"r, rt, region","r, rt, región ","None, None, Github",,"r, rt"
half,mitad ,Github,,
tissue,tejido ,Github,,
"release, rate","lanzar, rate","Github, None",,rate
center,concentrarse en,Github,,
"parenchymal, tissue","parenchymal, tejido ","None, Github",,parenchymal
"CNO, r","CNO, r","None, None",,"CNO, r"
"rt, region","rt, región ","None, Github",,rt
"parenchymal, tissue, outer, edge","parenchymal, tejido , fuera, filo ","None, Github, Github, Github",outer->out,parenchymal
"total, endothelium, release, rate, half","total , endotelio , lanzar, rate, mitad ","Github, Github, Github, None, Github",,rate
region,región ,Github,,
"boundary, condition","frontera , condición ","Github, Github",,
hemoglobin,hemoglobina,Github,,
"plasma, base, hemoglobin","plasma , base, hemoglobina","Github, Github, Github",,
"absence, presence","ausencia , presencia ","Github, Github",,
"nitric, oxide, erythrocyte, consumption","nitroso, óxido, eritrocito, consumo ","Github, Github, Github, Github",nitric->nitrous,
screening,esconder,Github,screening->cover,
protein,proteína,Github,,
session,sesión ,Github,,
"GENOMES, IN, PATHWAY","GENOMES, IN, PATHWAY","None, None, None",,"GENOMES, IN, PATHWAY"
"computational, problem","computazionale, problema ","Github, Github",,
prediction,predicción ,Github,,
"computational, problem, genome","computazionale, problema , genoma ","Github, Github, Github",,
"genomic, datum","genomic, dato ","None, Github",,genomic
"interact, protein",proteína,Github,,
datum,dato ,Github,,
"primarily, yeast, large, scale, screening","primariamente, levadura, grande, costra de óxido balanza escala, esconder","Github, Github, Github, Github, Github",screening->cover,
problem,problema ,Github,,
docking,nalgas ,Github,docking->tail,
"threa, homology, modeling","threa, moho","None, Github",modeling->mold,threa
protein,proteína,Github,,
prediction,predicción ,Github,,
challenge,desafiar,Github,,
homology,,,,
modeling,moho,Github,modeling->mold,
discussion,discusión ,Github,,
"blind, prediction","cegar, predicción ","Github, Github",,
"homology, modeling",moho,Github,modeling->mold,
"threa, homology, modeling, blind, prediction","threa, moho, cegar, predicción ","None, Github, Github, Github",modeling->mold,threa
"protein, docking","proteína, nalgas ","Github, Github",docking->tail,
"protein, docking, challenge","proteína, nalgas , desafiar","Github, Github, Github",docking->tail,
"large, scale","grande, costra de óxido balanza escala","Github, Github",,
scale,costra de óxido balanza escala,Github,,
yeast,levadura,Github,,
struct,struct,None,,struct
"large, scale, screening","grande, costra de óxido balanza escala, esconder","Github, Github, Github",screening->cover,
"proteinprotein, interaction","proteinprotein, interacción ","None, Github",,proteinprotein
interaction,interacción ,Github,,
"yeast, hybrid, essay","levadura, híbrido, ensayo ","Github, Github, Github",,
spectrometry,espectroscopia,Mexican Laws,spectrometry->spectroscopy,
essay,ensayo ,Github,,
"3-D, struct","3-D, struct","None, None",,"3-D, struct"
approach,aproximarse,Github,,
mass,masa,Github,,
hybrid,híbrido,Github,,
screening,esconder,Github,screening->cover,
"current, development","corriente , desarrollo ","Github, Github",,
"computational, approach","computazionale, aproximarse","Github, Github",,
"experimental, approach, mass, spectrometry","experimental, aproximarse, masa, espectroscopia","Github, Github, Github, Mexican Laws",spectrometry->spectroscopy,
"hybrid, essay","híbrido, ensayo ","Github, Github",,
development,desarrollo ,Github,,
"experimental, approach","experimental, aproximarse","Github, Github",,
"important, current, development","importante, corriente , desarrollo ","Github, Github, Github",,
"mass, spectrometry","masa, espectroscopia","Github, Mexican Laws",spectrometry->spectroscopy,
hemoglobin,hemoglobina,Github,,
diffusion,difusión,Github,,
"hemoglobin, base, blood, substitute","hemoglobina, base, sangre, sustituir","Github, Github, Github, Github",,
oxide,óxido,Github,,
"nitric, oxide, diffusion","nitroso, óxido, difusión","Github, Github, Github",nitric->nitrous,
blood,sangre,Github,,
model,modelo,Github,,
substitute,sustituir,Github,,
"oxide, diffusion","óxido, difusión","Github, Github",,
arteriole,,,,
"blood, substitute","sangre, sustituir","Github, Github",,
impact,impacto ,Github,,
"hemoglobin, base, blood, substitute, impact","hemoglobina, base, sangre, sustituir, impacto ","Github, Github, Github, Github, Github",,
KAVDIA,KAVDIA,None,,KAVDIA
"MAHENDRA, KAVDIA","MAHENDRA, KAVDIA","None, None",,"MAHENDRA, KAVDIA"
"NIKOLAOS, M., TSOUKIAS, MAHENDRA, KAVDIA","NIKOLAOS, M., TSOUKIAS, MAHENDRA, KAVDIA","None, None, None, None, None",,"NIKOLAOS, M., TSOUKIAS, MAHENDRA, KAVDIA"
hemoglobin,hemoglobina,Github,,
diffusion,difusión,Github,,
"hemoglobin, base, blood, substitute","hemoglobina, base, sangre, sustituir","Github, Github, Github, Github",,
oxide,óxido,Github,,
"nitric, oxide, diffusion","nitroso, óxido, difusión","Github, Github, Github",nitric->nitrous,
